Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes
13,Sun,2020-12-20,15:30,Freiburg,2.8,4–1,1.9,Hertha BSC,Schwarzwald-Stadion,Tobias Reichel,Match Report,
13,Sun,2020-12-20,18:00,Wolfsburg,1.4,1–0,1.2,Stuttgart,Volkswagen Arena,Florian Badstübner,Match Report,
14,Sat,2021-01-02,15:30,Eint Frankfurt,1.5,2–1,0.8,Leverkusen,Deutsche Bank Park,Felix Brych,Match Report,
14,Sat,2021-01-02,15:30,Arminia,0.9,0–1,2.5,M'Gladbach,SchücoArena,Sascha Stegemann,Match Report,
14,Sat,2021-01-02,15:30,Köln,0.6,0–1,1.4,Augsburg,RheinEnergieSTADION,Sören Storks,Match Report,
14,Sat,2021-01-02,15:30,Hoffenheim,1.2,1–3,2.0,Freiburg,PreZero Arena,Robert Hartmann,Match Report,
14,Sat,2021-01-02,15:30,Werder Bremen,0.8,0–2,1.0,Union Berlin,Weserstadion,Tobias Stieler,Match Report,
14,Sat,2021-01-02,18:30,Hertha BSC,2.1,3–0,0.8,Schalke 04,Olympiastadion Berlin,Sven Jablonski,Match Report,
14,Sat,2021-01-02,20:30,Stuttgart,0.9,0–1,2.8,RB Leipzig,Mercedes-Benz Arena,Christian Dingert,Match Report,
14,Sun,2021-01-03,15:30,Dortmund,1.8,2–0,2.1,Wolfsburg,Signal Iduna Park,Manuel Gräfe,Match Report,
14,Sun,2021-01-03,18:00,Bayern Munich,4.3,5–2,1.3,Mainz 05,Allianz Arena,Markus Schmidt,Match Report,
15,Fri,2021-01-08,20:30,M'Gladbach,1.2,3–2,1.5,Bayern Munich,Stadion im Borussia-Park,Harm Osmers,Match Report,
15,Sat,2021-01-09,15:30,Mainz 05,0.8,0–2,2.3,Eint Frankfurt,Opel Arena,Bastian Dankert,Match Report,
15,Sat,2021-01-09,15:30,Union Berlin,1.0,2–2,1.9,Wolfsburg,Stadion An der Alten Försterei,Patrick Ittrich,Match Report,
15,Sat,2021-01-09,15:30,Leverkusen,0.7,1–1,0.3,Werder Bremen,BayArena,Benjamin Cortus,Match Report,
15,Sat,2021-01-09,15:30,Freiburg,2.5,5–0,0.2,Köln,Schwarzwald-Stadion,Robert Schröder,Match Report,
15,Sat,2021-01-09,15:30,Schalke 04,2.0,4–0,1.9,Hoffenheim,Veltins-Arena,Felix Zwayer,Match Report,
15,Sat,2021-01-09,18:30,RB Leipzig,1.7,1–3,2.2,Dortmund,Red Bull Arena,Daniel Siebert,Match Report,
15,Sun,2021-01-10,15:30,Augsburg,1.0,1–4,3.5,Stuttgart,WWK Arena,Daniel Schlager,Match Report,
15,Sun,2021-01-10,18:00,Arminia,0.7,1–0,0.6,Hertha BSC,SchücoArena,Guido Winkmann,Match Report,
16,Fri,2021-01-15,20:30,Union Berlin,1.4,1–0,0.9,Leverkusen,Stadion An der Alten Försterei,Florian Badstübner,Match Report,
16,Sat,2021-01-16,15:30,Hoffenheim,0.6,0–0,0.7,Arminia,PreZero Arena,Marco Fritz,Match Report,
16,Sat,2021-01-16,15:30,Wolfsburg,0.8,2–2,2.4,RB Leipzig,Volkswagen Arena,Tobias Stieler,Match Report,
16,Sat,2021-01-16,15:30,Dortmund,2.3,1–1,0.6,Mainz 05,Signal Iduna Park,Sven Jablonski,Match Report,
16,Sat,2021-01-16,15:30,Köln,0.4,0–0,0.5,Hertha BSC,RheinEnergieSTADION,Frank Willenborg,Match Report,
16,Sat,2021-01-16,15:30,Werder Bremen,1.3,2–0,0.8,Augsburg,Weserstadion,Sascha Stegemann,Match Report,
