Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes,comma
11,Sun,2020-12-06,14:30,AZ Alkmaar,0.6,1–2,1.1,Groningen,,AFAS Stadion,Serdar Gözübüyük,Match Report,
11,Sun,2020-12-06,16:45,Heerenveen,1.6,2–2,2.1,PSV Eindhoven,,Abe Lenstra Stadion,Bas Nijhuis,Match Report,
12,Fri,2020-12-11,20:00,Heracles Almelo,1.4,1–2,1.0,Fortuna Sittard,,Erve Asito,Erwin Blank,Match Report,
12,Sat,2020-12-12,16:30,Groningen,1.6,2–0,0.5,RKC Waalwijk,,Hitachi Capital Mobility Stadion,Jannick van der Laan,Match Report,
12,Sat,2020-12-12,18:45,Emmen,2.0,1–1,0.5,ADO Den Haag,,De Oude Meerdijk,Jeroen Manschot,Match Report,
12,Sat,2020-12-12,20:00,Ajax,3.0,4–0,0.5,Zwolle,,Johan Cruyff ArenA,Pol van Boekel,Match Report,
12,Sun,2020-12-13,12:15,Vitesse,1.5,1–1,1.3,Heerenveen,,GelreDome,Allard Lindhout,Match Report,
12,Sun,2020-12-13,14:30,Willem II,1.8,1–3,3.2,Sparta R'dam,,Koning Willem II Stadion,Christiaan Bax,Match Report,
12,Sun,2020-12-13,14:30,VVV-Venlo,0.6,0–3,1.5,Feyenoord,,Seacon Stadion De Koel,Björn Kuipers,Match Report,
12,Sun,2020-12-13,16:45,PSV Eindhoven,1.2,2–1,1.5,Utrecht,,Philips Stadion,Serdar Gözübüyük,Match Report,
12,Sun,2020-12-13,20:00,Twente,1.5,1–3,2.1,AZ Alkmaar,,De Grolsch Veste,Danny Makkelie,Match Report,
13,Fri,2020-12-18,20:00,Zwolle,1.1,0–0,0.4,Emmen,,MAC³PARK Stadion,Björn Kuipers,Match Report,
13,Sat,2020-12-19,16:30,Sparta R'dam,1.6,2–3,1.8,Groningen,,Sparta-Stadion Het Kasteel,Danny Makkelie,Match Report,
13,Sat,2020-12-19,18:45,VVV-Venlo,0.6,1–2,1.4,Twente,,Seacon Stadion De Koel,Serdar Gözübüyük,Match Report,
13,Sat,2020-12-19,20:00,RKC Waalwijk,0.9,1–4,2.1,PSV Eindhoven,,Mandemakers Stadion,Kevin Blom,Match Report,
13,Sat,2020-12-19,21:00,Utrecht,2.9,1–1,1.1,Fortuna Sittard,,Stadion Galgenwaard,Rob Dieperink,Match Report,
13,Sun,2020-12-20,12:15,Vitesse,1.6,1–0,2.3,Feyenoord,,GelreDome,Pol van Boekel,Match Report,
13,Sun,2020-12-20,14:30,Heerenveen,1.1,1–2,1.7,Heracles Almelo,,Abe Lenstra Stadion,Martin Perez,Match Report,
13,Sun,2020-12-20,14:30,ADO Den Haag,0.6,2–4,4.0,Ajax,,Cars Jeans Stadion,Bas Nijhuis,Match Report,
13,Sun,2020-12-20,16:45,AZ Alkmaar,1.8,5–3,1.4,Willem II,,AFAS Stadion,Dennis Higler,Match Report,
14,Tue,2020-12-22,16:30,Fortuna Sittard,3.3,2–1,1.0,RKC Waalwijk,,Fortuna Sittard Stadion,Marc Nagtegaal,Match Report,
14,Tue,2020-12-22,18:45,Emmen,1.2,2–3,2.5,Utrecht,,De Oude Meerdijk,Christiaan Bax,Match Report,
14,Tue,2020-12-22,20:00,PSV Eindhoven,4.9,4–1,0.4,VVV-Venlo,,Philips Stadion,Sander Van der Eijk,Match Report,
14,Tue,2020-12-22,21:00,Twente,0.8,0–2,1.3,Sparta R'dam,,De Grolsch Veste,Martin van den Kerkhof,Match Report,
14,Wed,2020-12-23,16:30,AZ Alkmaar,1.7,3–1,1.4,Vitesse,,AFAS Stadion,Bas Nijhuis,Match Report,
14,Wed,2020-12-23,18:45,Willem II,0.5,1–1,2.5,Ajax,,Koning Willem II Stadion,Jeroen Manschot,Match Report,
14,Wed,2020-12-23,20:00,Groningen,1.0,0–1,1.3,Heracles Almelo,,Hitachi Capital Mobility Stadion,Allard Lindhout,Match Report,
14,Wed,2020-12-23,20:00,ADO Den Haag,0.4,0–2,1.0,Zwolle,,Cars Jeans Stadion,Ingmar Oostrom,Match Report,
14,Wed,2020-12-23,21:00,Feyenoord,3.5,3–0,0.5,Heerenveen,,Stadion Feijenoord,Jochem Kamphuis,Match Report,
1,Sun,2020-12-27,14:30,Utrecht,1.6,2–2,1.8,AZ Alkmaar,,Stadion Galgenwaard,Pol van Boekel,Match Report,
15,Sat,2021-01-09,16:30,RKC Waalwijk,1.5,0–1,0.5,ADO Den Haag,,Mandemakers Stadion,Serdar Gözübüyük,Match Report,
15,Sat,2021-01-09,18:45,Emmen,0.5,1–4,1.8,Twente,,De Oude Meerdijk,Allard Lindhout,Match Report,
15,Sat,2021-01-09,20:00,Heracles Almelo,1.3,0–2,0.9,Vitesse,,Erve Asito,Danny Makkelie,Match Report,
15,Sat,2021-01-09,20:00,Zwolle,0.8,1–1,0.9,AZ Alkmaar,,MAC³PARK Stadion,Kevin Blom,Match Report,
15,Sat,2021-01-09,21:00,Utrecht,2.8,2–2,1.0,Groningen,,Stadion Galgenwaard,Jeroen Manschot,Match Report,
15,Sun,2021-01-10,12:15,Sparta R'dam,0.5,0–2,2.3,Feyenoord,,Sparta-Stadion Het Kasteel,Dennis Higler,Match Report,
15,Sun,2021-01-10,14:30,VVV-Venlo,1.3,2–1,1.7,Willem II,,Seacon Stadion De Koel,Jochem Kamphuis,Match Report,
15,Sun,2021-01-10,14:30,Heerenveen,1.3,1–3,1.7,Fortuna Sittard,,Abe Lenstra Stadion,Richard Martens,Match Report,
15,Sun,2021-01-10,16:45,Ajax,1.7,2–2,1.2,PSV Eindhoven,,Johan Cruyff ArenA,Björn Kuipers,Match Report,
16,Tue,2021-01-12,18:45,Vitesse,1.0,1–0,0.8,Utrecht,,GelreDome,Edwin van de Graaf,Match Report,
16,Tue,2021-01-12,21:00,Heracles Almelo,2.6,4–0,0.5,Emmen,,Erve Asito,Rob Dieperink,Match Report,
16,Wed,2021-01-13,18:45,PSV Eindhoven,0.7,1–3,1.1,AZ Alkmaar,,Philips Stadion,Serdar Gözübüyük,Match Report,
16,Wed,2021-01-13,20:00,ADO Den Haag,1.0,1–4,2.8,VVV-Venlo,,Cars Jeans Stadion,Jannick van der Laan,Match Report,
16,Wed,2021-01-13,20:00,Fortuna Sittard,0.6,0–1,1.4,Sparta R'dam,,Fortuna Sittard Stadion,Allard Lindhout,Match Report,
16,Wed,2021-01-13,21:00,Feyenoord,2.0,1–0,0.6,Zwolle,,Stadion Feijenoord,Bas Nijhuis,Match Report,
16,Thu,2021-01-14,18:45,Heerenveen,1.6,1–1,1.0,RKC Waalwijk,,Abe Lenstra Stadion,Martin van den Kerkhof,Match Report,
16,Thu,2021-01-14,20:00,Twente,1.4,1–3,3.5,Ajax,,De Grolsch Veste,Pol van Boekel,Match Report,
16,Thu,2021-01-14,21:00,Willem II,1.2,2–3,1.8,Groningen,,Koning Willem II Stadion,Marc Nagtegaal,Match Report,
17,Sat,2021-01-16,16:30,Emmen,1.5,1–4,1.9,Vitesse,,De Oude Meerdijk,Jochem Kamphuis,Match Report,
17,Sat,2021-01-16,18:45,Sparta R'dam,1.7,3–5,2.2,PSV Eindhoven,,Sparta-Stadion Het Kasteel,Bas Nijhuis,Match Report,
17,Sat,2021-01-16,20:00,Zwolle,0.6,0–2,1.8,Fortuna Sittard,,MAC³PARK Stadion,Christiaan Bax,Match Report,
17,Sat,2021-01-16,20:00,Utrecht,2.3,2–0,0.1,Heracles Almelo,,Stadion Galgenwaard,Ingmar Oostrom,Match Report,
17,Sat,2021-01-16,21:00,AZ Alkmaar,3.2,2–1,0.9,ADO Den Haag,,AFAS Stadion,Björn Kuipers,Match Report,
17,Sun,2021-01-17,12:15,RKC Waalwijk,1.5,1–1,1.1,Willem II,,Mandemakers Stadion,Allard Lindhout,Match Report,
17,Sun,2021-01-17,14:30,Groningen,1.7,2–2,1.0,Twente,,Hitachi Capital Mobility Stadion,Kevin Blom,Match Report,
17,Sun,2021-01-17,14:30,VVV-Venlo,0.6,1–1,1.9,Heerenveen,,Seacon Stadion De Koel,Erwin Blank,Match Report,
17,Sun,2021-01-17,16:45,Ajax,1.2,1–0,0.9,Feyenoord,,Johan Cruyff ArenA,Danny Makkelie,Match Report,
18,Fri,2021-01-22,20:00,Willem II,0.6,1–3,3.2,Zwolle,,Koning Willem II Stadion,Sander Van der Eijk,Match Report,
18,Sat,2021-01-23,16:30,ADO Den Haag,0.7,0–0,1.1,Emmen,,Cars Jeans Stadion,Bas Nijhuis,Match Report,
18,Sat,2021-01-23,18:45,Vitesse,1.7,1–0,0.4,Groningen,,GelreDome,Björn Kuipers,Match Report,
18,Sat,2021-01-23,20:00,PSV Eindhoven,1.1,2–0,1.0,RKC Waalwijk,,Philips Stadion,Danny Makkelie,Match Report,
18,Sat,2021-01-23,21:00,Heracles Almelo,1.8,1–0,0.5,Heerenveen,,Erve Asito,Jochem Kamphuis,Match Report,
18,Sun,2021-01-24,12:15,Fortuna Sittard,1.2,1–2,3.5,Ajax,,Fortuna Sittard Stadion,Dennis Higler,Match Report,
18,Sun,2021-01-24,14:30,Twente,1.5,0–1,0.7,VVV-Venlo,,De Grolsch Veste,Martin van den Kerkhof,Match Report,
18,Sun,2021-01-24,14:30,Utrecht,1.4,1–0,0.5,Sparta R'dam,,Stadion Galgenwaard,Serdar Gözübüyük,Match Report,
18,Sun,2021-01-24,16:45,Feyenoord,1.4,2–3,3.0,AZ Alkmaar,,Stadion Feijenoord,Allard Lindhout,Match Report,
19,Tue,2021-01-26,18:45,Zwolle,0.8,2–2,1.6,Heracles Almelo,,MAC³PARK Stadion,Marc Nagtegaal,Match Report,
19,Tue,2021-01-26,20:00,Emmen,0.3,0–2,2.2,PSV Eindhoven,,De Oude Meerdijk,Jeroen Manschot,Match Report,
19,Tue,2021-01-26,21:00,Groningen,1.5,3–0,0.5,ADO Den Haag,,Hitachi Capital Mobility Stadion,Rob Dieperink,Match Report,
19,Wed,2021-01-27,18:45,AZ Alkmaar,1.3,0–1,1.2,Utrecht,,AFAS Stadion,Dennis Higler,Match Report,
19,Wed,2021-01-27,20:00,RKC Waalwijk,0.8,1–2,3.1,Fortuna Sittard,,Mandemakers Stadion,Laurens Gerrets,Match Report,
19,Wed,2021-01-27,20:00,VVV-Venlo,1.9,4–1,1.9,Vitesse,,Seacon Stadion De Koel,Allard Lindhout,Match Report,
19,Wed,2021-01-27,21:00,Heerenveen,2.4,3–0,1.2,Feyenoord,,Abe Lenstra Stadion,Pol van Boekel,Match Report,
